
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:62497        127.0.0.1:54599        ESTABLISHED
  TCP    127.0.0.1:62497        127.0.0.1:62506        ESTABLISHED
  TCP    127.0.0.1:62506        127.0.0.1:62497        ESTABLISHED
  TCP    127.0.0.1:62851        127.0.0.1:62852        ESTABLISHED
  TCP    127.0.0.1:62852        127.0.0.1:62851        ESTABLISHED
  TCP    172.18.240.1:139       0.0.0.0:0              LISTENING
  TCP    172.18.240.1:9009      0.0.0.0:0              LISTENING
  TCP    172.28.128.1:139       0.0.0.0:0              LISTENING
  TCP    172.28.128.1:9009      0.0.0.0:0              LISTENING
  TCP    192.168.0.39:139       0.0.0.0:0              LISTENING
  TCP    192.168.0.39:7680      192.168.0.171:53559    TIME_WAIT
  TCP    192.168.0.39:7680      192.168.0.171:53560    TIME_WAIT
  TCP    192.168.0.39:7680      192.168.0.171:53562    TIME_WAIT
  TCP    192.168.0.39:8081      192.168.0.39:52854     ESTABLISHED
  TCP    192.168.0.39:9009      0.0.0.0:0              LISTENING
  TCP    192.168.0.39:9093      192.168.0.39:52856     ESTABLISHED
  TCP    192.168.0.39:9100      192.168.0.39:52855     ESTABLISHED
  TCP    192.168.0.39:49353     35.186.224.38:443      ESTABLISHED
  TCP    192.168.0.39:49476     100.61.94.23:443       ESTABLISHED
  TCP    192.168.0.39:49528     54.225.161.193:443     ESTABLISHED
  TCP    192.168.0.39:50512     104.26.3.196:443       CLOSE_WAIT
  TCP    192.168.0.39:51413     192.241.153.107:443    ESTABLISHED
  TCP    192.168.0.39:52077     52.84.127.113:443      ESTABLISHED
  TCP    192.168.0.39:52089     199.38.182.118:443     ESTABLISHED
  TCP    192.168.0.39:52542     104.26.3.196:443       CLOSE_WAIT
  TCP    192.168.0.39:52545     104.26.3.196:443       CLOSE_WAIT
  TCP    192.168.0.39:52713     104.26.3.196:443       CLOSE_WAIT
  TCP    192.168.0.39:52854     192.168.0.39:8081      ESTABLISHED
  TCP    192.168.0.39:52855     192.168.0.39:9100      ESTABLISHED
  TCP    192.168.0.39:52856     192.168.0.39:9093      ESTABLISHED
  TCP    192.168.0.39:53578     35.241.53.87:443       ESTABLISHED
  TCP    192.168.0.39:53792     172.217.119.4:443      ESTABLISHED
  TCP    192.168.0.39:53894     172.217.119.4:443      ESTABLISHED
  TCP    192.168.0.39:54085     99.84.203.7:443        ESTABLISHED
  TCP    192.168.0.39:54323     142.251.210.229:443    TIME_WAIT
  TCP    192.168.0.39:54355     172.66.1.120:443       ESTABLISHED
  TCP    192.168.0.39:54385     13.227.180.4:443       ESTABLISHED
  TCP    192.168.0.39:54387     104.192.142.16:443     ESTABLISHED
  TCP    192.168.0.39:54416     172.217.113.4:443      ESTABLISHED
  TCP    192.168.0.39:54438     104.26.2.196:443       TIME_WAIT
  TCP    192.168.0.39:54443     104.192.142.16:443     ESTABLISHED
  TCP    192.168.0.39:54445     23.38.109.76:80        TIME_WAIT
  TCP    192.168.0.39:54455     65.52.241.40:443       ESTABLISHED
  TCP    192.168.0.39:54457     99.84.203.25:80        TIME_WAIT
  TCP    192.168.0.39:54477     20.190.157.1:443       TIME_WAIT
  TCP    192.168.0.39:54491     3.166.118.53:443       TIME_WAIT
  TCP    192.168.0.39:54493     3.166.118.53:443       TIME_WAIT
  TCP    192.168.0.39:54495     3.166.118.53:443       TIME_WAIT
  TCP    192.168.0.39:54497     3.166.118.53:443       TIME_WAIT
  TCP    192.168.0.39:54505     172.217.115.4:443      ESTABLISHED
  TCP    192.168.0.39:54507     104.26.2.196:443       TIME_WAIT
  TCP    192.168.0.39:54513     104.26.2.196:443       TIME_WAIT
  TCP    192.168.0.39:54518     172.217.113.4:443      ESTABLISHED
  TCP    192.168.0.39:54519     172.217.113.4:443      ESTABLISHED
  TCP    192.168.0.39:54524     172.217.115.4:443      ESTABLISHED
  TCP    192.168.0.39:54535     104.26.2.196:443       ESTABLISHED
  TCP    192.168.0.39:54538     172.217.113.4:443      ESTABLISHED
  TCP    192.168.0.39:54539     172.217.113.4:443      ESTABLISHED
  TCP    192.168.0.39:54545     172.217.113.4:443      ESTABLISHED
  TCP    192.168.0.39:54546     172.217.113.4:443      ESTABLISHED
  TCP    192.168.0.39:54551     104.21.11.210:443      TIME_WAIT
  TCP    192.168.0.39:54556     23.38.109.76:80        ESTABLISHED
  TCP    192.168.0.39:54558     23.59.169.52:443       ESTABLISHED
  TCP    192.168.0.39:54560     20.190.157.1:443       ESTABLISHED
  TCP    192.168.0.39:54562     23.217.55.72:443       ESTABLISHED
  TCP    192.168.0.39:54566     20.190.157.1:443       ESTABLISHED
  TCP    192.168.0.39:54568     35.186.224.24:443      ESTABLISHED
  TCP    192.168.0.39:54569     3.166.118.4:443        ESTABLISHED
  TCP    192.168.0.39:54576     104.18.43.182:443      ESTABLISHED
  TCP    192.168.0.39:54577     54.243.197.166:443     ESTABLISHED
  TCP    192.168.0.39:54578     18.160.181.128:443     ESTABLISHED
  TCP    192.168.0.39:54586     98.95.229.16:443       ESTABLISHED
  TCP    192.168.0.39:54590     34.237.238.41:443      TIME_WAIT
  TCP    192.168.0.39:55696     20.59.87.226:443       ESTABLISHED
  TCP    192.168.0.39:55819     34.158.255.62:4070     ESTABLISHED
  TCP    192.168.0.39:56395     173.194.193.188:5228   ESTABLISHED
  TCP    192.168.0.39:56493     173.194.193.188:5228   ESTABLISHED
  TCP    192.168.0.39:59236     35.186.224.39:443      ESTABLISHED
  TCP    192.168.0.39:59297     199.38.182.118:443     ESTABLISHED
  TCP    192.168.0.39:61550     199.165.136.100:443    ESTABLISHED
  TCP    192.168.0.39:62023     192.200.0.101:443      ESTABLISHED
  TCP    192.168.0.39:62024     192.200.0.101:443      ESTABLISHED
  TCP    192.168.0.39:62218     23.38.109.77:443       CLOSE_WAIT
  TCP    192.168.0.39:62219     23.38.109.77:443       CLOSE_WAIT
  TCP    192.168.0.39:62220     23.217.104.236:443     CLOSE_WAIT
  TCP    192.168.0.39:63317     104.18.124.108:443     ESTABLISHED
  TCP    192.168.0.39:64011     162.159.130.234:443    ESTABLISHED
  TCP    192.168.0.39:64887     35.186.224.38:443      ESTABLISHED
  TCP    192.168.2.1:139        0.0.0.0:0              LISTENING
  TCP    192.168.2.1:9009       0.0.0.0:0              LISTENING
  TCP    192.168.56.1:139       0.0.0.0:0              LISTENING
  TCP    192.168.56.1:9009      0.0.0.0:0              LISTENING
  TCP    192.168.103.1:139      0.0.0.0:0              LISTENING
  TCP    192.168.103.1:9009     0.0.0.0:0              LISTENING
  TCP    [::]:81                [::]:0                 LISTENING
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:443               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:554               [::]:0                 LISTENING
  TCP    [::]:2179              [::]:0                 LISTENING
  TCP    [::]:2222              [::]:0                 LISTENING
  TCP    [::]:2869              [::]:0                 LISTENING
  TCP    [::]:3000              [::]:0                 LISTENING
  TCP    [::]:3001              [::]:0                 LISTENING
  TCP    [::]:3002              [::]:0                 LISTENING
  TCP    [::]:3003              [::]:0                 LISTENING
  TCP    [::]:5000              [::]:0                 LISTENING
  TCP    [::]:5357              [::]:0                 LISTENING
  TCP    [::]:6379              [::]:0                 LISTENING
  TCP    [::]:7680              [::]:0                 LISTENING
  TCP    [::]:8001              [::]:0                 LISTENING
  TCP    [::]:8081              [::]:0                 LISTENING
  TCP    [::]:9090              [::]:0                 LISTENING
  TCP    [::]:9093              [::]:0                 LISTENING
  TCP    [::]:9100              [::]:0                 LISTENING
  TCP    [::]:10243             [::]:0                 LISTENING
  TCP    [::]:49664             [::]:0                 LISTENING
  TCP    [::]:49665             [::]:0                 LISTENING
  TCP    [::]:49666             [::]:0                 LISTENING
  TCP    [::]:49667             [::]:0                 LISTENING
  TCP    [::]:49668             [::]:0                 LISTENING
  TCP    [::]:49671             [::]:0                 LISTENING
  TCP    [::1]:81               [::]:0                 LISTENING
  TCP    [::1]:443              [::]:0                 LISTENING
  TCP    [::1]:2222             [::]:0                 LISTENING
  TCP    [::1]:2375             [::]:0                 LISTENING
  TCP    [::1]:3000             [::]:0                 LISTENING
  TCP    [::1]:3001             [::]:0                 LISTENING
  TCP    [::1]:3002             [::]:0                 LISTENING
  TCP    [::1]:3003             [::]:0                 LISTENING
  TCP    [::1]:5000             [::]:0                 LISTENING
  TCP    [::1]:6379             [::]:0                 LISTENING
  TCP    [::1]:7679             [::]:0                 LISTENING
  TCP    [::1]:8001             [::]:0                 LISTENING
  TCP    [::1]:8081             [::]:0                 LISTENING
  TCP    [::1]:9090             [::]:0                 LISTENING
  TCP    [::1]:9093             [::]:0                 LISTENING
  TCP    [::1]:9100             [::]:0                 LISTENING
  TCP    [::1]:35783            [::]:0                 LISTENING
  TCP    [::1]:35783            [::1]:63404            ESTABLISHED
  TCP    [::1]:35783            [::1]:64674            ESTABLISHED
  TCP    [::1]:63404            [::1]:35783            ESTABLISHED
  TCP    [::1]:64674            [::1]:35783            ESTABLISHED
  TCP    [fd7a:115c:a1e0::7335:f70f]:38018  [::]:0                 LISTENING
  UDP    0.0.0.0:53             *:*                    
  UDP    0.0.0.0:53             *:*                    
  UDP    0.0.0.0:500            *:*                    
  UDP    0.0.0.0:1900           *:*                    
  UDP    0.0.0.0:1900           *:*                    
  UDP    0.0.0.0:1900           *:*                    
  UDP    0.0.0.0:1900           *:*                    
  UDP    0.0.0.0:1900           *:*                    
  UDP    0.0.0.0:1900           *:*                    
  UDP    0.0.0.0:1900           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:4500           *:*                    
  UDP    0.0.0.0:5004           *:*                    
  UDP    0.0.0.0:5004           *:*                    
  UDP    0.0.0.0:5005           *:*                    
  UDP    0.0.0.0:5005           *:*                    
  UDP    0.0.0.0:5050           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5355           *:*                    
  UDP    0.0.0.0:35475          *:*                    
  UDP    0.0.0.0:41641          *:*                    
  UDP    0.0.0.0:49181          *:*                    
  UDP    0.0.0.0:49350          *:*                    
  UDP    0.0.0.0:49892          *:*                    
  UDP    0.0.0.0:50087          *:*                    
  UDP    0.0.0.0:52754          *:*                    
  UDP    0.0.0.0:53090          *:*                    
  UDP    0.0.0.0:53830          *:*                    
  UDP    0.0.0.0:53831          *:*                    
  UDP    0.0.0.0:53886          *:*                    
  UDP    0.0.0.0:55309          *:*                    
  UDP    0.0.0.0:57621          *:*                    
  UDP    0.0.0.0:59094          *:*                    
  UDP    0.0.0.0:59807          *:*                    
  UDP    0.0.0.0:59901          *:*                    
  UDP    0.0.0.0:60074          *:*                    
  UDP    0.0.0.0:60592          *:*                    
  UDP    0.0.0.0:61008          *:*                    
  UDP    0.0.0.0:61300          *:*                    
  UDP    0.0.0.0:61486          *:*                    
  UDP    0.0.0.0:61723          *:*                    
  UDP    0.0.0.0:61724          *:*                    
  UDP    0.0.0.0:61725          *:*                    
  UDP    0.0.0.0:61726          *:*                    
  UDP    0.0.0.0:61727          *:*                    
  UDP    0.0.0.0:61728          *:*                    
  UDP    0.0.0.0:61729          *:*                    
  UDP    0.0.0.0:63244          *:*                    
  UDP    0.0.0.0:64129          *:*                    
  UDP    0.0.0.0:64131          *:*                    
  UDP    0.0.0.0:65224          *:*                    
  UDP    0.0.0.0:65454          *:*                    
  UDP    0.0.0.0:65504          *:*                    
  UDP    100.83.247.14:1900     *:*                    
  UDP    100.83.247.14:1980     *:*                    
  UDP    100.83.247.14:53182    *:*                    
  UDP    127.0.0.1:1900         *:*                    
  UDP    127.0.0.1:1980         *:*                    
  UDP    127.0.0.1:5453         *:*                    
  UDP    127.0.0.1:53187        *:*                    
  UDP    127.0.0.1:57021        *:*                    
  UDP    127.0.0.1:59886        *:*                    
  UDP    172.18.240.1:67        *:*                    
  UDP    172.18.240.1:68        *:*                    
  UDP    172.18.240.1:137       *:*                    
  UDP    172.18.240.1:138       *:*                    
  UDP    172.18.240.1:1900      *:*                    
  UDP    172.18.240.1:1980      *:*                    
  UDP    172.18.240.1:53189     *:*                    
  UDP    172.28.128.1:137       *:*                    
  UDP    172.28.128.1:138       *:*                    
  UDP    172.28.128.1:1900      *:*                    
  UDP    172.28.128.1:1980      *:*                    
  UDP    172.28.128.1:53188     *:*                    
  UDP    192.168.0.39:137       *:*                    
  UDP    192.168.0.39:138       *:*                    
  UDP    192.168.0.39:1900      *:*                    
  UDP    192.168.0.39:1980      *:*                    
  UDP    192.168.0.39:53183     *:*                    
  UDP    192.168.2.1:137        *:*                    
  UDP    192.168.2.1:138        *:*                    
  UDP    192.168.2.1:1900       *:*                    
  UDP    192.168.2.1:1980       *:*                    
  UDP    192.168.2.1:53186      *:*                    
  UDP    192.168.56.1:137       *:*                    
  UDP    192.168.56.1:138       *:*                    
  UDP    192.168.56.1:1900      *:*                    
  UDP    192.168.56.1:1980      *:*                    
  UDP    192.168.56.1:53184     *:*                    
  UDP    192.168.103.1:137      *:*                    
  UDP    192.168.103.1:138      *:*                    
  UDP    192.168.103.1:1900     *:*                    
  UDP    192.168.103.1:1980     *:*                    
  UDP    192.168.103.1:53185    *:*                    
  UDP    [::]:500               *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:4500              *:*                    
  UDP    [::]:5004              *:*                    
  UDP    [::]:5005              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5355              *:*                    
  UDP    [::]:35475             *:*                    
  UDP    [::]:36747             *:*                    
  UDP    [::]:41641             *:*                    
  UDP    [::]:52755             *:*                    
  UDP    [::]:59902             *:*                    
  UDP    [::]:60593             *:*                    
  UDP    [::]:64130             *:*                    
  UDP    [::]:64132             *:*                    
  UDP    [::1]:1900             *:*                    
  UDP    [::1]:53179            *:*                    
  UDP    [fe80::7d5:1fb7:fbf3:e64b%20]:1900  *:*                    
  UDP    [fe80::7d5:1fb7:fbf3:e64b%20]:53178  *:*                    
  UDP    [fe80::1a2b:5c25:e959:7c19%45]:1900  *:*                    
  UDP    [fe80::1a2b:5c25:e959:7c19%45]:53180  *:*                    
  UDP    [fe80::5a1a:c35b:4982:216%24]:1900  *:*                    
  UDP    [fe80::5a1a:c35b:4982:216%24]:53176  *:*                    
  UDP    [fe80::9394:c53a:d69c:399e%7]:1900  *:*                    
  UDP    [fe80::9394:c53a:d69c:399e%7]:53175  *:*                    
  UDP    [fe80::d8ff:5060:f230:9168%74]:1900  *:*                    
  UDP    [fe80::d8ff:5060:f230:9168%74]:53174  *:*                    
  UDP    [fe80::da65:15ef:97d:ef67%51]:1900  *:*                    
  UDP    [fe80::da65:15ef:97d:ef67%51]:53181  *:*                    
  UDP    [fe80::eb5f:88e4:aa9f:39fc%13]:1900  *:*                    
  UDP    [fe80::eb5f:88e4:aa9f:39fc%13]:53177  *:*                    
